Sequence, Marketplace, Reseller Name, Reseller Contact Name, Reseller Email Address, Reseller Phone Number, Order Id, Subscription Id, Activity Type, Service Type, Order Creation Date, Purchase Date, Activation Date,Subscription Type,Term Start Date,Term End Date,Term Duration,Next Renewal Date, Service Cancellation Date, Bill From, Bill To, Company Name, Company Acronym, Account Creation Date, First Name, Last Name, Customer Email Address, Customer Phone Number,Address Line1,Address Line2, City, State/Province, ZIP Code, Country, Country Code, Service Name, Offer Name, Offer Code, Sales Reference Code, Unit Of Measure, Qty, Pro-rate Scale, Retail Unit Price, Pro-rated Retail Price Unit Price, Gross Retail Price, Retail Price Discount (%), Pro-Rated Retail Unit Discounted Price (Amount), Total Retail Price Discount (Amount), Total Retail Price, Tax on Total Retail Price, Grand Total: Retail Price, Promotion Code, Promotion duration, Wholesale Unit Price, Pro-rated Wholesale Unit Price, Customer Transaction Currency, Vendor Currency, Gross Wholesale Price, Wholesale Price Discount (%), Pro-Rated Wholesale Unit Discounted Price (Amount), Total Wholesale Price Discount (Amount), Total Wholesale Price, Tax on Total Wholesale Price, Grand Total: Wholesale Price, Vendor Name, Vendor Unit Price, Pro-rated Vendor Unit Price, Total Vendor Price, Tax on Total Vendor Price, Grand Total: Vendor Price, Billing Cycle, Prorate Type, Prorate On Cancellation, Usage Attributes, Payment Method, Payment Status, Refund Type, Refund Amount, Invoice Number, Resource Id, Charge Type, Invoice Status
539d8602-3bce-11e9-8b5b-fa168efe86a7,Teleo Target,Telefo Store,admin s,admin@testjsdn.com,6175100414,4011504,0843ba1f-2164-406f-a875-6c9380dea3cc,Usage,IAAS,28/01/2019,28/01/2019,28/01/2019,USAGE,,,,,,31/01/2019,27/02/2019,Telefo Store,telefostore,28/01/2019,admin,s,admin@testjsdn.com,123466,amr,,Beverly hills,California,90210,,US,New Azure CSP Subscription Service,New Azure Csp Subscription Offer,newazurecspsubscriptionoffer,,1 GB,0.0006,,,,0,,,,0,,0,,,,,USD,USD,0,,,,0,,0,Microsoft Azure Csp,,,0,,0,Month,,,Bandwidth | Data Transfer Out | Zone 1,Credito pré Aprovado,Overdue,,,Tle-1-00001010,ajayres711rg$ajayres711sa,Usage,Active
53ad98ee-3bce-11e9-a877-fa168efe86a7,Teleo Target,Telefo Store,admin s,admin@testjsdn.com,6175100414,4011504,0843ba1f-2164-406f-a875-6c9380dea3cc,Usage,IAAS,28/01/2019,28/01/2019,28/01/2019,USAGE,,,,,,31/01/2019,27/02/2019,Telefo Store,telefostore,28/01/2019,admin,s,admin@testjsdn.com,123466,amr,,Beverly hills,California,90210,,US,New Azure CSP Subscription Service,New Azure Csp Subscription Offer,newazurecspsubscriptionoffer,,1 GB/Month,6.192162,,,,0.63,,,,0.63,,0.63,,,,,USD,USD,0.63,,,,0.63,,0.63,Microsoft Azure Csp,,,0.63,,0.63,Month,,,Storage | Standard Page Blob | RA-GRS Data Stored,Credito pré Aprovado,Overdue,,,Tle-1-00001010,ajayres711rg$ajayres711sa,Usage,Active
536ff7be-3bce-11e9-acc3-fa168efe86a7,Teleo Target,Telefo Store,admin s,admin@testjsdn.com,6175100414,4011504,0843ba1f-2164-406f-a875-6c9380dea3cc,Usage,IAAS,28/01/2019,28/01/2019,28/01/2019,USAGE,,,,,,31/01/2019,27/02/2019,Telefo Store,telefostore,28/01/2019,admin,s,admin@testjsdn.com,123466,amr,,Beverly hills,California,90210,,US,New Azure CSP Subscription Service,New Azure Csp Subscription Offer,newazurecspsubscriptionoffer,,1 GB,0.00312,,,,0,,,,0,,0,,,,,USD,USD,0,,,,0,,0,Microsoft Azure Csp,,,0,,0,Month,,,Bandwidth | Data Transfer In | Zone 1,Credito pré Aprovado,Overdue,,,Tle-1-00001010,ajayres711rg$ajayres711sa,Usage,Active
5380330e-3bce-11e9-a242-fa168efe86a7,Teleo Target,Telefo Store,admin s,admin@testjsdn.com,6175100414,4011504,0843ba1f-2164-406f-a875-6c9380dea3cc,Usage,IAAS,28/01/2019,28/01/2019,28/01/2019,USAGE,,,,,,31/01/2019,27/02/2019,Telefo Store,telefostore,28/01/2019,admin,s,admin@testjsdn.com,123466,amr,,Beverly hills,California,90210,,US,New Azure CSP Subscription Service,New Azure Csp Subscription Offer,newazurecspsubscriptionoffer,,1 GB/Month,0.49508,,,,0.02,,,,0.02,,0.02,,,,,USD,USD,0.02,,,,0.02,,0.02,Microsoft Azure Csp,,,0.02,,0.02,Month,,,Storage | Standard Page Blob | LRS Data Stored,Credito pré Aprovado,Overdue,,,Tle-1-00001010,ajayres711rg$dndtestjc,Usage,Active
538d148e-3bce-11e9-abd6-fa168efe86a7,Teleo Target,Telefo Store,admin s,admin@testjsdn.com,6175100414,4011504,0843ba1f-2164-406f-a875-6c9380dea3cc,Usage,IAAS,28/01/2019,28/01/2019,28/01/2019,USAGE,,,,,,31/01/2019,27/02/2019,Telefo Store,telefostore,28/01/2019,admin,s,admin@testjsdn.com,123466,amr,,Beverly hills,California,90210,,US,New Azure CSP Subscription Service,New Azure Csp Subscription Offer,newazurecspsubscriptionoffer,,1 GB/Month,0.00084,,,,0,,,,0,,0,,,,,USD,USD,0,,,,0,,0,Microsoft Azure Csp,,,0,,0,Month,,,Storage | Tables | RA-GRS Data Stored,Credito pré Aprovado,Overdue,,,Tle-1-00001010,ajayres711rg$ajayres711sa,Usage,Active
54581ab2-3bce-11e9-abd6-fa168efe86a7,Teleo Target,Telefo Store,admin s,admin@testjsdn.com,6175100414,4011504,0843ba1f-2164-406f-a875-6c9380dea3cc,Usage,IAAS,28/01/2019,28/01/2019,28/01/2019,USAGE,,,,,,31/01/2019,27/02/2019,Telefo Store,telefostore,28/01/2019,admin,s,admin@testjsdn.com,123466,amr,,Beverly hills,California,90210,,US,New Azure CSP Subscription Service,New Azure Csp Subscription Offer,newazurecspsubscriptionoffer,,1 GB,0.006255,,,,0,,,,0,,0,,,,,USD,USD,0,,,,0,,0,Microsoft Azure Csp,,,0,,0,Month,,,Storage | Bandwidth | Geo-Replication Data transfer | US East,Credito pré Aprovado,Overdue,,,Tle-1-00001010,ajayres711rg$ajayres711sa,Usage,Active
547943c2-3bce-11e9-b11a-fa168efe86a7,Teleo Target,Telefo Store,admin s,admin@testjsdn.com,6175100414,4011504,0843ba1f-2164-406f-a875-6c9380dea3cc,Usage,IAAS,28/01/2019,28/01/2019,28/01/2019,USAGE,,,,,,31/01/2019,27/02/2019,Telefo Store,telefostore,28/01/2019,admin,s,admin@testjsdn.com,123466,amr,,Beverly hills,California,90210,,US,New Azure CSP Subscription Service,New Azure Csp Subscription Offer,newazurecspsubscriptionoffer,,10K,0.073,,,,0,,,,0,,0,,,,,USD,USD,0,,,,0,,0,Microsoft Azure Csp,,,0,,0,Month,,,Storage | Tables | Batch Write Operations,Credito pré Aprovado,Overdue,,,Tle-1-00001010,ajayres711rg$dndtestjc,Usage,Active
546ef0a2-3bce-11e9-acc3-fa168efe86a7,Teleo Target,Telefo Store,admin s,admin@testjsdn.com,6175100414,4011504,0843ba1f-2164-406f-a875-6c9380dea3cc,Usage,IAAS,28/01/2019,28/01/2019,28/01/2019,USAGE,,,,,,31/01/2019,27/02/2019,Telefo Store,telefostore,28/01/2019,admin,s,admin@testjsdn.com,123466,amr,,Beverly hills,California,90210,,US,New Azure CSP Subscription Service,New Azure Csp Subscription Offer,newazurecspsubscriptionoffer,,1 GB/Month,0.000425,,,,0,,,,0,,0,,,,,USD,USD,0,,,,0,,0,Microsoft Azure Csp,,,0,,0,Month,,,Storage | Tables | LRS Data Stored,Credito pré Aprovado,Overdue,,,Tle-1-00001010,ajayres711rg$dndtestjc,Usage,Active
54642a00-3bce-11e9-a242-fa168efe86a7,Teleo Target,Telefo Store,admin s,admin@testjsdn.com,6175100414,4011504,0843ba1f-2164-406f-a875-6c9380dea3cc,Usage,IAAS,28/01/2019,28/01/2019,28/01/2019,USAGE,,,,,,31/01/2019,27/02/2019,Telefo Store,telefostore,28/01/2019,admin,s,admin@testjsdn.com,123466,amr,,Beverly hills,California,90210,,US,New Azure CSP Subscription Service,New Azure Csp Subscription Offer,newazurecspsubscriptionoffer,,10K,0.145,,,,0,,,,0,,0,,,,,USD,USD,0,,,,0,,0,Microsoft Azure Csp,,,0,,0,Month,,,Storage | Tables | GRS Batch Write Operations,Credito pré Aprovado,Overdue,,,Tle-1-00001010,ajayres711rg$ajayres711sa,Usage,Active
8e87d9c8-23b6-11e9-8d31-fa168e341347,Teleo Target,Telefo Store,admin s,admin@testjsdn.com,6175100414,4011510,f44bd3a3-ed5c-4955-b334-76cd3746d2e2,New,SAAS,29/01/2019,29/01/2019,29/01/2019,SUBSCRIPTION,,,,,,29/01/2019,31/01/2019,JCTest,JCTest,28/01/2019,JC,Test,jctest@jamcracker.com,1234,12,,Sao,Alagoas,1234,Brazil,BR,JCtestserv1,JCtestserv1,JCtestserv1,,JCtestserv1,1,0.096774194,30,2.9,2.9,,2.9,,2.9,,2.9,,,13,1.26,USD,USD,1.26,,1.26,,1.26,,1.26,Teleo Target,12,1.16,1.16,,1.16,Month,Yes,Full Charge,Prorate-Recurring Fee,Pre-Approved Credit,Overdue,,,Tle-1-00001008,,,Active
77e8234e-25cd-11e9-a71d-fa168e341347,Teleo Target,Telefo Store,admin s,admin@testjsdn.com,6175100414,4011510,f44bd3a3-ed5c-4955-b334-76cd3746d2e2,Recurring,SAAS,29/01/2019,29/01/2019,29/01/2019,SUBSCRIPTION,,,,,,1/2/2019,28/02/2019,JCTest,JCTest,28/01/2019,JC,Test,jctest@jamcracker.com,1234,12,,Sao,Alagoas,1234,Brazil,BR,JCtestserv1,JCtestserv1,JCtestserv1,,JCtestserv1,1,1,30,30,30,,30,,30,,30,,,13,13,USD,USD,13,,13,,13,,13,Teleo Target,12,12,12,,12,Month,Yes,Full Charge,Recurring Fee,Pre-Approved Credit,Overdue,,,Tle-1-00001008,,,Active
590e157a-3bce-11e9-9e60-fa168efe86a7,Teleo Target,Telefo Store,admin s,admin@testjsdn.com,6175100414,4011510,f44bd3a3-ed5c-4955-b334-76cd3746d2e2,Recurring,SAAS,29/01/2019,29/01/2019,29/01/2019,SUBSCRIPTION,,,,,,1/3/2019,31/03/2019,JCTest,JCTest,28/01/2019,JC,Test,jctest@jamcracker.com,1234,12,,Sao,Alagoas,1234,Brazil,BR,JCtestserv1,JCtestserv1,JCtestserv1,,JCtestserv1,1,1,30,30,30,,30,,30,,30,,,13,13,USD,USD,13,,13,,13,,13,Teleo Target,12,12,12,,12,Month,Yes,Full Charge,Recurring Fee,Pre-Approved Credit,Overdue,,,Tle-1-00001020,,,Active
ea7f3962-2472-11e9-adb1-fa168e341347,Teleo Target,Telefo Store,admin s,admin@testjsdn.com,6175100414,4011511,27484611-c2b5-49b4-a877-44046bedda2a,Additional,SAAS,29/01/2019,29/01/2019,30/01/2019,SUBSCRIPTION,,,,,,30/01/2019,31/01/2019,JCTest,JCTest,28/01/2019,JC,Test,jctest@jamcracker.com,1234,12,,Sao,Alagoas,1234,Brazil,BR,JCtestserv1,JCtestserv1,JCtestserv1,,JCtestserv1,1,0.064516129,30,1.94,1.94,,1.94,,1.94,,1.94,,,13,0.84,USD,USD,0.84,,0.84,,0.84,,0.84,Teleo Target,12,0.77,0.77,,0.77,Month,Yes,Full Charge,Prorate-Recurring Fee,Pre-Approved Credit,Overdue,,,Tle-1-00001008,,,Active
77b19db0-25cd-11e9-a71d-fa168e341347,Teleo Target,Telefo Store,admin s,admin@testjsdn.com,6175100414,4011511,27484611-c2b5-49b4-a877-44046bedda2a,Recurring,SAAS,29/01/2019,29/01/2019,30/01/2019,SUBSCRIPTION,,,,,,1/2/2019,28/02/2019,JCTest,JCTest,28/01/2019,JC,Test,jctest@jamcracker.com,1234,12,,Sao,Alagoas,1234,Brazil,BR,JCtestserv1,JCtestserv1,JCtestserv1,,JCtestserv1,1,1,30,30,30,,30,,30,,30,,,13,13,USD,USD,13,,13,,13,,13,Teleo Target,12,12,12,,12,Month,Yes,Full Charge,Recurring Fee,Pre-Approved Credit,Overdue,,,Tle-1-00001008,,,Active
5969fbec-3bce-11e9-9e60-fa168efe86a7,Teleo Target,Telefo Store,admin s,admin@testjsdn.com,6175100414,4011511,27484611-c2b5-49b4-a877-44046bedda2a,Recurring,SAAS,29/01/2019,29/01/2019,30/01/2019,SUBSCRIPTION,,,,,,1/3/2019,31/03/2019,JCTest,JCTest,28/01/2019,JC,Test,jctest@jamcracker.com,1234,12,,Sao,Alagoas,1234,Brazil,BR,JCtestserv1,JCtestserv1,JCtestserv1,,JCtestserv1,1,1,30,30,30,,30,,30,,30,,,13,13,USD,USD,13,,13,,13,,13,Teleo Target,12,12,12,,12,Month,Yes,Full Charge,Recurring Fee,Pre-Approved Credit,Overdue,,,Tle-1-00001020,,,Active
80326032-2631-11e9-9b0a-fa168e341347,Teleo Target,telephonicaenterprise,telephonicaenterprise telephonicaenterprise,pka.lya.nc.h.iru@gmail.com,3.45457E+12,4011515,ae10b0b1-2528-464e-adc2-57c54c2c2149,New,SAAS,1/2/2019,1/2/2019,1/2/2019,SUBSCRIPTION,,,,,,1/2/2019,28/02/2019,telephonicaenterprise,telephonicaenterprise,1/2/2019,telephonicaenterprise,telephonicaenterprise,pka.lya.nc.h.iru@gmail.com,3.45457E+12,telephonicaenterprise,telephonicaenterprise,other,other,90201,,DK,JCtestserv1,JCtestserv1,JCtestserv1,,JCtestserv1,1,1,100,100,100,,100,,100,,100,,,13,13,USD,USD,13,,13,,13,,13,Teleo Target,12,12,12,,12,Month,Yes,Full Charge,Recurring Fee,Credito pré Aprovado,Overdue,,,tle-1-00001063,,,Active
ae10b0b1-2528-464e-adc2-57c54c2c2149,Teleo Target,telephonicaenterprise,telephonicaenterprise telephonicaenterprise,pka.lya.nc.h.iru@gmail.com,3.45457E+12,,ae10b0b1-2528-464e-adc2-57c54c2c2149,Cancellation,SAAS,1/2/2019,1/2/2019,1/2/2019,SUBSCRIPTION,,,,,4/2/2019,,,telephonicaenterprise,telephonicaenterprise,1/2/2019,telephonicaenterprise,telephonicaenterprise,pka.lya.nc.h.iru@gmail.com,3.45457E+12,telephonicaenterprise,telephonicaenterprise,other,other,90201,,DK,JCtestserv1,JCtestserv1,JCtestserv1,,JCtestserv1,1,,,,,,,,,,,,,,,USD,USD,,,,,,,,Teleo Target,,,,,,Month,Yes,Full Charge,Cancellation,,,,,,,,
2c814dec-2846-11e9-b930-fa168e341347,Teleo Target,telephonicaenterprise,telephonicaenterprise telephonicaenterprise,pka.lya.nc.h.iru@gmail.com,3.45457E+12,4011519,c664858e-6f4d-4b45-9f84-aabb67ef1170,Additional,SAAS,4/2/2019,4/2/2019,4/2/2019,SUBSCRIPTION,,,,,,4/2/2019,28/02/2019,telephonicaenterprise,telephonicaenterprise,1/2/2019,telephonicaenterprise,telephonicaenterprise,pka.lya.nc.h.iru@gmail.com,3.45457E+12,telephonicaenterprise,telephonicaenterprise,other,other,90201,,DK,JCtestserv1,JCtestserv1,JCtestserv1,,JCtestserv1,2,0.892857143,100,89.29,178.57,,89.29,,178.57,,178.57,,,13,11.61,USD,USD,23.21,,11.61,,23.21,,23.21,Teleo Target,12,10.71,21.43,,21.43,Month,Yes,Full Charge,Prorate-Recurring Fee,Credito pré Aprovado,Overdue,,,tle-1-00001063,,,Active
c664858e-6f4d-4b45-9f84-aabb67ef1170,Teleo Target,telephonicaenterprise,telephonicaenterprise telephonicaenterprise,pka.lya.nc.h.iru@gmail.com,3.45457E+12,,c664858e-6f4d-4b45-9f84-aabb67ef1170,Cancellation,SAAS,4/2/2019,4/2/2019,4/2/2019,SUBSCRIPTION,,,,,4/2/2019,,,telephonicaenterprise,telephonicaenterprise,1/2/2019,telephonicaenterprise,telephonicaenterprise,pka.lya.nc.h.iru@gmail.com,3.45457E+12,telephonicaenterprise,telephonicaenterprise,other,other,90201,,DK,JCtestserv1,JCtestserv1,JCtestserv1,,JCtestserv1,2,,,,,,,,,,,,,,,USD,USD,,,,,,,,Teleo Target,,,,,,Month,Yes,Full Charge,Cancellation,,,,,,,,
26e895da-28b3-11e9-81d2-fa168e341347,Teleo Target,Vivo Plataforma Digital,Administrador Reseller Vivo,vivoreseller@portalvivocloud.com.br,1.10988E+11,4011526,0c254323-c78d-4696-a401-2c07b492c609,New,SAAS,4/2/2019,4/2/2019,4/2/2019,SUBSCRIPTION,,,,,,4/2/2019,28/02/2019,Vivo Plataforma Digital,VIVORESELLER,29/01/2019,Administrador Reseller,Vivo,vivoreseller@portalvivocloud.com.br,1.10988E+11,"Av. Engenheiro Luís Carlos Berrini, 1376",Cidade Monções,São Paulo,São Paulo,04571-936,Brazil,BR,Servico Vivo 01,Oferta Vivo Basic,Oferta Vivo Basic,DEALER01,licença,2,0.892857143,89,79.46,158.93,,79.46,,158.93,,158.93,,,59,52.68,USD,USD,105.36,,52.68,,105.36,,105.36,Teleo Target,59,52.68,105.36,,105.36,Month,Yes,Full Charge,Prorate-Recurring Fee,Credito pré Aprovado,Overdue,,,VVR-1-00001049,,,Active
